"","user_id","seleccio.1","seleccio.2","seleccio.3","seleccio.4","seleccio.5","seleccio.6","seleccio.7","seleccio.8","seleccio.9","seleccio.10","mean_contr","partida","SD"
"2403",244,2,4,4,4,4,4,4,4,0,0,3,41,1.69967317119759
"2404",245,2,2,2,2,2,0,0,2,0,0,1.2,41,1.03279555898864
"2405",246,2,4,4,4,2,2,2,0,4,2,2.6,41,1.34989711542111
"2406",247,0,2,0,2,0,2,2,4,0,0,1.2,41,1.3984117975602
"2521",252,0,2,4,0,0,4,0,0,0,0,1,43,1.69967317119759
"2522",254,2,2,4,0,2,4,4,2,0,0,2,43,1.63299316185545
"2523",256,2,4,4,4,4,4,4,4,0,0,3,43,1.69967317119759
"2524",257,4,4,4,2,4,0,2,2,0,0,2.2,43,1.75119007154183
"2525",258,4,2,2,2,4,0,2,0,0,0,1.6,43,1.57762127549323
"2526",259,4,4,0,2,4,4,4,0,0,0,2.2,43,1.98885785202351
"2641",265,4,4,2,4,4,0,4,0,4,4,3,45,1.69967317119759
"2642",267,2,4,4,0,4,2,2,4,2,0,2.4,45,1.57762127549323
"2643",268,2,0,4,4,2,0,4,4,4,0,2.4,45,1.83787316694536
"2644",269,2,4,0,2,2,2,4,4,4,0,2.4,45,1.57762127549323
"2645",270,2,4,4,2,0,2,2,0,4,0,2,45,1.63299316185545
"2646",271,0,0,2,0,0,2,0,0,4,0,0.8,45,1.3984117975602
"2881",289,2,2,4,0,2,0,0,4,2,2,1.8,49,1.47572957474524
"2882",291,4,4,4,4,4,4,2,0,2,2,3,49,1.4142135623731
"2883",292,4,4,4,2,2,2,2,0,2,2,2.4,49,1.26491106406735
"2884",293,4,4,2,2,4,2,2,0,4,0,2.4,49,1.57762127549323
"2885",294,2,4,4,4,2,0,2,2,0,0,2,49,1.63299316185545
"2886",296,2,2,4,2,4,4,4,2,0,2,2.6,49,1.34989711542111
"3001",302,4,4,4,4,4,4,4,0,0,0,2.8,51,1.93218356615859
"3002",303,4,4,4,4,4,2,2,2,2,0,2.8,51,1.3984117975602
"3003",304,0,0,0,0,0,0,0,0,0,0,0,51,0
"3004",305,2,4,2,2,4,2,4,0,0,0,2,51,1.63299316185545
"3005",306,2,2,2,2,2,0,0,0,0,0,1,51,1.05409255338946
"3006",307,4,4,4,4,4,4,4,2,4,2,3.6,51,0.843274042711568
"3061",308,2,2,0,4,4,2,4,2,4,2,2.6,52,1.34989711542111
"3062",309,2,0,2,4,2,4,4,4,2,2,2.6,52,1.34989711542111
"3063",310,2,2,2,0,4,2,0,4,0,2,1.8,52,1.47572957474524
"3064",311,2,4,0,2,0,4,2,4,0,2,2,52,1.63299316185545
"3065",312,2,2,4,4,4,0,2,4,0,2,2.4,52,1.57762127549323
"3066",313,2,2,0,2,2,0,0,2,0,2,1.2,52,1.03279555898864
"3121",314,2,2,4,2,2,2,2,2,2,4,2.4,53,0.843274042711568
"3122",315,2,0,0,0,2,0,0,0,0,0,0.4,53,0.843274042711568
"3123",316,2,2,0,2,4,2,4,2,0,2,2,53,1.33333333333333
"3124",317,2,2,2,2,2,2,2,2,4,2,2.2,53,0.632455532033676
"3125",318,2,4,4,2,4,4,4,2,2,2,3,53,1.05409255338946
"3126",319,2,4,4,2,0,4,2,4,0,4,2.6,53,1.64654520469713
