"","user_id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
"38",55,"Makeitcounts",8019,"d",27,"r6",NA,"r1","r2","r2","r2","r2","r1","r1","r3","r1","r2","r3","r3","r2","2015-12-12 12:31:19.288888","2015-12-12 12:39:41.842421",1,"2015-12-12 12:33:05.313179",40,11,"true","false","false",9,0,4,"r1","r2",11,10,1
"41",61,"Mirscat",8030,"d",25,"r6",NA,"r3","r1","r2","r3","r3","r1","r1","r2","r2","r2","r4","r3","r1","2015-12-12 12:44:29.958790","2015-12-12 13:08:43.876514",1,"2015-12-12 12:54:27.539653",40,23,"true","false","false",11,0,4,"r2","r4",23,10,1
"42",63,"Olesa23",8292,"h",47,"r4",NA,"r1","r1","r2","r3","r3","r1","r1","r1","r1","r2","r1","r3","r2","2015-12-12 12:51:00.613479","2015-12-12 13:07:35.776268",1,"2015-12-12 12:54:07.111712",40,25,"true","false","false",11,0,3,"r3","r2",25,10,1
"43",64,"Ainaratg03",8291,"d",12,"r3",NA,"r1","r1","r2","r1","r1","r3","r1","r1","r1","r2","r1","r1","r2","2015-12-12 12:53:24.092451","2015-12-12 13:08:41.464661",1,"2015-12-12 12:57:39.292591",40,21,"true","false","false",11,0,2,"r3","r4",21,10,1
"44",65,"Jugases",8291,"d",42,"r6",NA,"r1","r1","r2","r3","r1","r3","r1","r3","r1","r2","r3","r3","r2","2015-12-12 12:54:20.799263","2015-12-12 13:08:55.519613",1,"2015-12-12 12:57:44.850527",40,19,"true","false","false",11,0,5,"r2","r2",19,10,1
"45",66,"Ariana",8291,"h",42,"r4",NA,"r1","r1","r2","r2","r1","r3","r1","r1","r1","r2","r3","r3","r2","2015-12-12 12:54:43.394527","2015-12-12 13:09:10.297669",1,"2015-12-12 12:57:37.387683",40,20,"true","false","false",11,0,6,"r1","r1",20,10,1
"46",67,"A leído",46120,"h",41,"r6",NA,"r1","r2","r1","r2","r1","r1","r3","r1","r3","r2","r1","r3","r2","2015-12-12 12:59:11.386872","2015-12-12 13:07:37.073375",1,"2015-12-12 13:00:59.971217",40,9,"true","false","false",11,0,1,"r3","r1",9,10,1
"49",74,"Sapphire",8100,"d",27,"r6",NA,"r1","r1","r1","r3","r3","r2","r2","r1","r3","r2","r3","r3","r2","2015-12-12 15:18:02.720388","2015-12-12 15:35:18.813819",1,"2015-12-12 15:23:40.159248",40,20,"true","false","false",13,0,1,"r1","r2",20,10,1
"50",75,"Rucen ",8100,"h",30,"r6",NA,"r2","r1","r1","r2","r2","r1","r2","r1","r2","r2","r3","r2","r2","2015-12-12 15:18:39.173950","2015-12-12 15:36:14.884087",1,"2015-12-12 15:23:58.835412",40,20,"true","false","false",13,0,4,"r1","r3",20,10,1
"51",76,"Ender",8100,"h",32,"r5",NA,"r1","r2","r2","r3","r2","r1","r1","r1","r2","r2","r3","r3","r2","2015-12-12 15:19:26.921397","2015-12-12 15:37:15.487010",1,"2015-12-12 15:25:00.735841",40,25,"true","false","false",13,0,5,"r1","r1",25,10,1
"52",77,"Fantasma 2710",8921,"h",43,"r5",NA,"r1","r2","r2","r3","r3","r2","r2","r1","r2","r2","r1","r3","r2","2015-12-12 15:22:49.198089","2015-12-12 15:37:49.178648",1,"2015-12-12 15:26:37.060542",40,7,"true","false","false",13,0,3,"r3","r2",7,10,1
"53",78,"MikeBCN",8003,"h",40,"r6",NA,"r1","r2","r4","r3","r3","r1","r1","r2","r2","r2","r3","r3","r2","2015-12-12 15:23:47.638813","2015-12-12 15:35:43.663605",1,"2015-12-12 15:26:06.345001",40,18,"true","false","false",13,0,6,"r1","r3",18,10,1
"54",79,"Mate",8041,"h",55,"r6",NA,"r3","r1","r2","r2","r2","r3","r1","r1","r2","r2","r3","r3","r2","2015-12-12 15:27:31.576763","2015-12-12 15:35:19.099233",1,"2015-12-12 15:29:18.277685",40,21,"true","false","false",13,0,2,"r1","r3",21,10,1
"56",84,"Mazuf ",8024,"h",39,"r6",NA,"r1","r2","r2","r1","r1","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 15:36:25.430553","2015-12-12 15:50:12.127626",1,"2015-12-12 15:40:43.349402",40,16,"true","false","false",15,0,4,"r2","r3",16,10,1
"57",86,"Et",8014,"d",54,"r6",NA,"r3","r1","r2","r2","r2","r1","r1","r1","r1","r2","r3","r3","r2","2015-12-12 15:36:45.602569","2015-12-12 15:49:44.546641",1,"2015-12-12 15:39:56.713999",40,11,"true","false","false",15,0,2,"r2","r1",11,10,1
"60",89,"Lo u",8027,"h",47,"r6",NA,"r1","r3","r2","r2","r3","r1","r1","r1","r2","r2","r3","r3","r2","2015-12-12 15:37:49.899501","2015-12-12 15:49:58.266422",1,"2015-12-12 15:40:27.798950",40,24,"true","false","false",15,0,3,"r2","r2",24,10,1
"61",90,"Andreu00",8027,"h",15,"r3",NA,"r1","r1","r2","r3","r3","r2","r1","r1","r1","r2","r3","r3","r2","2015-12-12 15:37:59.101861","2015-12-12 15:50:22.024235",1,"2015-12-12 15:40:47.357038",40,17,"true","false","false",15,0,1,"r1","r2",17,10,1
"62",91,"Max",8027,"h",13,"r3",NA,"r1","r1","r2","r3","r2","r1","r1","r1","r2","r2","r4","r3","r2","2015-12-12 15:38:09.578652","2015-12-12 15:50:30.098652",1,"2015-12-12 15:41:54.345494",40,29,"true","false","false",15,0,6,"r2","r2",29,10,1
"63",93,"Gema",8027,"d",45,"r6",NA,"r1","r2","r2","r2","r3","r1","r3","r1","r3","r2","r1","r3","r2","2015-12-12 15:38:41.807200","2015-12-12 15:48:56.923100",1,"2015-12-12 15:41:53.244910",40,21,"true","false","false",15,0,5,"r1","r3",21,10,1
"65",98,"Isagonica",8003,"h",41,"r6",NA,"r1","r1","r2","r3","r3","r1","r2","r2","r1","r3","r3","r3","r2","2015-12-12 15:45:01.021093","2015-12-12 16:00:03.451872",1,"2015-12-12 15:48:07.141822",40,34,"true","false","false",17,0,4,"r1","r1",34,10,1
"66",99,"Humberto",35010,"h",56,"r5",NA,"r1","r2","r1","r3","r3","r3","r2","r3","r3","r2","r3","r3","r2","2015-12-12 15:45:56.769649","2015-12-12 16:01:37.871080",1,"2015-12-12 15:48:21.709101",40,9,"true","false","false",17,0,3,"r1","r2",9,10,1
