"id","num_partida","data_creacio","data_inicialitzacio","data_finalitzacio","estat","classe","num_rondes","ronda_actual","data_fi_ronda","usuaris_registrats","guanyen_igualment","diners_heterogenis","objectiu_aconseguit","comentari","partida_024"
43,43,"2015-12-13 12:04:51.967931","2015-12-13 12:16:21.366773","2015-12-13 12:20:21.149076","ACABADA","DAU",10,11,"2015-12-13 12:21:06.009292",6,0,1,1,"",1
44,44,"2015-12-13 12:17:01.678147","2015-12-13 12:32:35.229992","2015-12-13 12:37:22.819430","ACABADA","DAU",10,11,"2015-12-13 12:38:07.730579",6,0,0,1,"",1
45,45,"2015-12-13 12:32:55.167152","2015-12-13 12:38:51.123856","2015-12-13 12:42:42.109929","ACABADA","DAU",10,11,"2015-12-13 12:43:27.038329",6,0,1,1,"",1
46,46,"2015-12-13 12:38:55.613470","2015-12-13 12:46:03.800225","2015-12-13 12:49:56.560751","ACABADA","DAU",10,11,"2015-12-13 12:50:41.510481",6,0,0,1,"",1
47,47,"2015-12-13 12:47:23.210285","2015-12-13 12:55:45.608250","2015-12-13 12:59:52.805829","ACABADA","DAU",10,11,"2015-12-13 13:00:37.711876",6,0,0,1,"",1
48,48,"2015-12-13 13:02:30.991742","2015-12-13 13:08:09.528672","2015-12-13 13:12:21.304173","ACABADA","DAU",10,11,"2015-12-13 13:13:06.254602",6,0,0,1,"",1
49,49,"2015-12-13 13:08:54.456919","2015-12-13 13:14:17.024365","2015-12-13 13:18:22.185807","ACABADA","DAU",10,11,"2015-12-13 13:19:07.090073",6,0,1,1,"",1
50,50,"2015-12-13 13:14:19.271321","2015-12-13 13:17:28.561491","2015-12-13 13:21:49.020723","ACABADA","DAU",10,11,"2015-12-13 13:22:33.963566",6,0,0,1,"",1
51,51,"2015-12-13 14:44:19.478066","2015-12-13 14:56:23.094496","2015-12-13 15:00:01.470474","ACABADA","DAU",10,11,"2015-12-13 15:00:46.421011",6,0,1,1,"",1
52,52,"2015-12-13 15:02:48.077346","2015-12-13 15:07:48.946634","2015-12-13 15:11:50.649071","ACABADA","DAU",10,11,"2015-12-13 15:12:35.594043",6,0,1,1,"",1
53,53,"2015-12-13 15:07:53.116672","2015-12-13 15:16:23.992152","2015-12-13 15:20:21.488373","ACABADA","DAU",10,11,"2015-12-13 15:21:06.393736",6,0,1,1,"",1
54,54,"2015-12-13 15:27:35.666000","2015-12-13 15:32:44.722899","2015-12-13 15:37:07.549553","ACABADA","DAU",10,11,"2015-12-13 15:37:52.484517",6,0,0,1,"",0
