"user_id","nickname","codi_postal","genere","rang_edat","nivell_estudis","prfinal0","prfinal1","prfinal2","prfinal3","prfinal4","prfinal5","prfinal6","prfinal7","prfinal8","prfinal9","prfinal10","prfinal11","prfinal12","prfinal13","data_creacio","data_finalitzacio","acabat","data_registre","diners_inicials","diners_actuals","check_1","check_2","check_3","partida_id","is_robot","num_jugador","prfinal14","prfinal15","guany_final","num_seleccions","sorteig"
46,"Subí","08030","d",29,"r3","","r1","r1","r3","r3","r3","r1","r2","r2","r2","r2","r4","r3","r3","2015-12-12 12:20:19.145672","2015-12-12 12:33:40.986983",1,"2015-12-12 12:24:09.975195",60,20,"true","false","false",8,0,1,"r3","r3",20,10,1
47,"Maknum ","08020","h",44,"r6","","r1","r1","r2","r1","r2","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-12 12:20:19.532999","2015-12-12 12:33:23.653198",1,"2015-12-12 12:23:43.458802",40,31,"true","false","false",8,0,2,"r3","r4",31,10,1
48,"David","08015","h",36,"r6","","r1","r2","r1","r3","r3","r2","r1","r2","r1","r2","r3","r3","r2","2015-12-12 12:22:19.410973","2015-12-12 12:34:14.780570",1,"2015-12-12 12:26:47.068039",50,22,"true","false","false",8,0,3,"r1","r3",22,10,1
49,"Helena","08015","d",32,"r6","","r1","r1","r2","r3","r3","r1","r2","r2","r3","r2","r3","r3","r2","2015-12-12 12:22:54.150641","2015-12-12 12:35:13.331791",1,"2015-12-12 12:26:38.629464",40,6,"true","false","false",8,0,5,"r3","r4",6,10,1
50,"Betylula","28027","d",35,"r6","","r1","r1","r2","r3","r2","r2","r3","r1","r1","r2","r3","r3","r4","2015-12-12 12:23:15.432895","2015-12-12 12:40:59.012184",1,"2015-12-12 12:29:25.544958",40,27,"true","false","false",9,0,2,"r3","r3",27,10,1
51,"Antoni M. R.","08338","h",26,"r6","","r1","r1","r1","r3","r3","r1","r1","r1","r2","r2","r1","r3","r2","2015-12-12 12:24:27.105405","2015-12-12 12:41:54.952811",1,"2015-12-12 12:29:44.727544",40,12,"true","false","false",9,0,5,"r1","r2",12,10,1
52,"Supéralo pez","28027","h",33,"r6","","r1","r1","r1","r3","r1","r1","r2","r1","r1","r2","r3","r3","r2","2015-12-12 12:24:37.740637","2015-12-12 12:41:21.098496",1,"2015-12-12 12:29:42.084473",40,23,"true","false","false",9,0,1,"r3","r4",23,10,1
53,"Papons","08021","h",41,"r6","","r1","r2","r2","r3","r3","r1","r1","r2","r1","r2","r3","r3","r2","2015-12-12 12:26:33.589304","2015-12-12 12:39:43.614868",1,"2015-12-12 12:29:44.577427",40,15,"true","false","false",9,0,3,"r1","r3",15,10,1
54,"Turbonegra","09550","d",30,"r6","","r1","r1","r4","r2","r2","r1","r1","r2","r3","r2","r3","r3","r2","2015-12-12 12:28:03.213006","2015-12-12 12:38:59.057552",1,"2015-12-12 12:29:40.843864",40,23,"true","false","false",9,0,6,"r1","r3",23,10,1
55,"Makeitcounts","08019","d",27,"r6","","r1","r2","r2","r2","r2","r1","r1","r3","r1","r2","r3","r3","r2","2015-12-12 12:31:19.288888","2015-12-12 12:39:41.842421",1,"2015-12-12 12:33:05.313179",40,11,"true","false","false",9,0,4,"r1","r2",11,10,1
56,"Xix","08019","h",32,"r7","","r1","r1","r2","r1","r1","r1","r1","r1","r3","r2","r3","r3","r3","2015-12-12 12:31:23.005589","2015-12-12 12:55:25.513298",1,"2015-12-12 12:34:50.320671",60,32,"true","false","false",10,0,2,"r4","r2",32,10,1
