"id","num_ronda","bucket_inici_ronda","bucket_final_ronda","temps_inici_ronda","temps_final_ronda","partida_id","calculada"
226,6,28,9,"2015-12-12 17:21:52.483479","2015-12-12 17:22:08.157214",23,1
227,7,9,-11,"2015-12-12 17:22:23.157214","2015-12-12 17:22:28.780198",23,1
228,8,-11,-29,"2015-12-12 17:22:43.780198","2015-12-12 17:22:48.575145",23,1
229,9,-29,-45,"2015-12-12 17:23:03.575145","2015-12-12 17:23:11.021944",23,1
230,10,-45,-61,"2015-12-12 17:23:26.021944","2015-12-12 17:23:30.591918",23,1
231,1,120,100,"2015-12-12 17:22:38.702000","2015-12-12 17:22:51.649952",24,1
232,2,100,83,"2015-12-12 17:23:06.649952","2015-12-12 17:23:16.066095",24,1
233,3,83,62,"2015-12-12 17:23:31.066095","2015-12-12 17:23:38.347085",24,1
234,4,62,47,"2015-12-12 17:23:53.347085","2015-12-12 17:23:57.974611",24,1
235,5,47,31,"2015-12-12 17:24:12.974611","2015-12-12 17:24:19.703909",24,1
236,6,31,11,"2015-12-12 17:24:34.703909","2015-12-12 17:24:42.565807",24,1
237,7,11,1,"2015-12-12 17:24:57.565807","2015-12-12 17:25:04.319640",24,1
238,8,1,-1,"2015-12-12 17:25:19.319640","2015-12-12 17:25:24.888257",24,1
239,9,-1,-2,"2015-12-12 17:25:39.888257","2015-12-12 17:25:47.878320",24,1
240,10,-2,-3,"2015-12-12 17:26:02.878320","2015-12-12 17:26:10.861035",24,1
241,1,120,104,"2015-12-12 17:36:25.810691","2015-12-12 17:36:36.615225",25,1
242,2,104,88,"2015-12-12 17:36:51.615225","2015-12-12 17:37:04.480943",25,1
243,3,88,68,"2015-12-12 17:37:19.480943","2015-12-12 17:37:23.080705",25,1
244,4,68,50,"2015-12-12 17:37:38.080705","2015-12-12 17:37:43.277373",25,1
245,5,50,33,"2015-12-12 17:37:58.277373","2015-12-12 17:38:02.321967",25,1
246,6,33,15,"2015-12-12 17:38:17.321967","2015-12-12 17:38:22.257197",25,1
247,7,15,-1,"2015-12-12 17:38:37.257197","2015-12-12 17:38:41.725098",25,1
248,8,-1,-5,"2015-12-12 17:38:56.725098","2015-12-12 17:39:03.515024",25,1
249,9,-5,-11,"2015-12-12 17:39:18.515024","2015-12-12 17:39:26.498223",25,1
250,10,-11,-17,"2015-12-12 17:39:41.498223","2015-12-12 17:39:45.314748",25,1
251,1,120,105,"2015-12-12 17:43:09.065822","2015-12-12 17:43:20.593172",26,1
252,2,105,90,"2015-12-12 17:43:35.593172","2015-12-12 17:43:43.014279",26,1
253,3,90,75,"2015-12-12 17:43:58.014279","2015-12-12 17:44:06.267652",26,1
