"id","ha_seleccionat","seleccio","temps_seleccio","ronda_id","user_id"
198,1,3,"2015-12-12 11:43:00.413388",33,25
199,1,2,"2015-12-12 11:43:28.293001",34,20
200,1,1,"2015-12-12 11:43:26.129070",34,21
201,1,2,"2015-12-12 11:43:24.039392",34,22
202,1,0,"2015-12-12 11:43:24.248336",34,23
203,1,1,"2015-12-12 11:43:24.618875",34,24
204,1,3,"2015-12-12 11:43:26.011135",34,25
205,1,2,"2015-12-12 11:43:45.966573",35,20
206,1,4,"2015-12-12 11:43:44.999813",35,21
207,1,1,"2015-12-12 11:43:48.044608",35,22
208,1,1,"2015-12-12 11:43:46.531259",35,23
209,1,3,"2015-12-12 11:43:46.281736",35,24
210,1,2,"2015-12-12 11:43:45.791643",35,25
211,1,2,"2015-12-12 11:44:06.848459",36,20
212,1,2,"2015-12-12 11:44:04.441478",36,21
213,1,1,"2015-12-12 11:44:07.245721",36,22
214,1,3,"2015-12-12 11:44:08.208394",36,23
215,1,2,"2015-12-12 11:44:09.946344",36,24
216,1,2,"2015-12-12 11:44:05.499627",36,25
217,1,3,"2015-12-12 11:44:29.947796",37,20
218,1,4,"2015-12-12 11:44:29.649698",37,21
219,1,2,"2015-12-12 11:44:28.490647",37,22
220,1,0,"2015-12-12 11:44:29.187279",37,23
221,1,1,"2015-12-12 11:44:30.064932",37,24
222,1,4,"2015-12-12 11:44:27.609999",37,25
223,1,1,"2015-12-12 11:44:47.046969",38,20
224,1,3,"2015-12-12 11:44:49.928770",38,21
225,1,1,"2015-12-12 11:44:49.795260",38,22
226,1,0,"2015-12-12 11:44:46.795432",38,23
227,1,0,"2015-12-12 11:44:48.289528",38,24
228,1,1,"2015-12-12 11:44:48.749418",38,25
229,1,2,"2015-12-12 11:45:07.364597",39,20
230,1,0,"2015-12-12 11:45:07.724493",39,21
231,1,4,"2015-12-12 11:45:08.254961",39,22
232,1,1,"2015-12-12 11:45:08.102365",39,23
233,1,2,"2015-12-12 11:45:13.031814",39,24
234,1,3,"2015-12-12 11:45:08.025561",39,25
235,1,2,"2015-12-12 11:45:32.114070",40,20
236,1,2,"2015-12-12 11:45:30.392782",40,21
237,1,3,"2015-12-12 11:45:40.782415",40,22
238,1,0,"2015-12-12 11:45:31.650788",40,23
239,1,2,"2015-12-12 11:45:42.968732",40,24
240,1,3,"2015-12-12 11:45:29.513336",40,25
241,1,4,"2015-12-12 11:51:07.969737",41,26
242,1,4,"2015-12-12 11:51:06.441374",41,27
243,1,1,"2015-12-12 11:51:03.607371",41,28
244,1,2,"2015-12-12 11:51:04.510379",41,29
245,1,2,"2015-12-12 11:51:13.486690",41,30
246,1,3,"2015-12-12 11:51:08.345032",41,32
247,1,4,"2015-12-12 11:51:31.520286",42,26
248,1,0,"2015-12-12 11:51:31.553426",42,27
249,1,1,"2015-12-12 11:51:30.155021",42,28
250,1,3,"2015-12-12 11:51:32.257398",42,29
251,1,2,"2015-12-12 11:51:34.706309",42,30
252,1,4,"2015-12-12 11:51:32.636029",42,32
253,1,3,"2015-12-12 11:51:57.654170",43,26
254,1,1,"2015-12-12 11:51:55.547494",43,27
255,1,1,"2015-12-12 11:51:52.546177",43,28
256,1,1,"2015-12-12 11:51:57.087711",43,29
257,1,3,"2015-12-12 11:51:58.792517",43,30
258,1,2,"2015-12-12 11:51:54.528726",43,32
259,1,3,"2015-12-12 11:52:25.746445",44,26
260,1,1,"2015-12-12 11:52:15.117627",44,27
261,1,3,"2015-12-12 11:52:15.614392",44,28
262,1,4,"2015-12-12 11:52:18.134543",44,29
263,1,2,"2015-12-12 11:52:17.945283",44,30
264,1,4,"2015-12-12 11:52:16.468181",44,32
265,1,2,"2015-12-12 11:52:48.478443",45,26
266,1,0,"2015-12-12 11:52:44.470109",45,27
267,1,1,"2015-12-12 11:52:42.063095",45,28
268,1,3,"2015-12-12 11:52:43.008894",45,29
269,1,1,"2015-12-12 11:52:47.765963",45,30
270,1,4,"2015-12-12 11:52:55.418324",45,32
271,1,3,"2015-12-12 11:53:14.337496",46,26
272,1,4,"2015-12-12 11:53:12.018518",46,27
273,1,1,"2015-12-12 11:53:12.206491",46,28
274,1,0,"2015-12-12 11:53:13.783018",46,29
275,1,3,"2015-12-12 11:53:14.845376",46,30
276,1,2,"2015-12-12 11:53:13.357246",46,32
277,1,1,"2015-12-12 11:53:34.298031",47,26
278,1,0,"2015-12-12 11:53:32.370780",47,27
279,1,1,"2015-12-12 11:53:31.570452",47,28
280,1,1,"2015-12-12 11:53:31.986612",47,29
281,1,2,"2015-12-12 11:53:33.696037",47,30
282,1,4,"2015-12-12 11:53:31.005884",47,32
283,1,0,"2015-12-12 11:53:54.975545",48,26
284,1,0,"2015-12-12 11:53:51.931003",48,27
285,1,0,"2015-12-12 11:53:50.416020",48,28
286,1,0,"2015-12-12 11:53:51.532886",48,29
287,1,1,"2015-12-12 11:53:53.589371",48,30
288,1,4,"2015-12-12 11:53:55.804977",48,32
289,1,4,"2015-12-12 11:54:12.401829",49,26
290,1,2,"2015-12-12 11:54:13.828356",49,27
291,1,1,"2015-12-12 11:54:12.724157",49,28
292,1,3,"2015-12-12 11:54:12.306841",49,29
293,1,0,"2015-12-12 11:54:15.988479",49,30
294,1,3,"2015-12-12 11:54:19.079860",49,32
295,1,4,"2015-12-12 11:54:39.502139",50,26
296,1,2,"2015-12-12 11:54:41.859523",50,27
297,1,2,"2015-12-12 11:54:36.255192",50,28
298,1,3,"2015-12-12 11:54:35.553025",50,29
299,1,4,"2015-12-12 11:54:35.522635",50,30
300,1,4,"2015-12-12 11:54:36.867206",50,32
301,1,2,"2015-12-12 12:04:27.278263",51,31
302,1,1,"2015-12-12 12:04:30.318122",51,33
303,1,1,"2015-12-12 12:04:22.749461",51,34
304,1,2,"2015-12-12 12:04:23.395757",51,35
305,1,3,"2015-12-12 12:04:36.671890",51,37
306,1,4,"2015-12-12 12:04:22.563738",51,39
307,1,3,"2015-12-12 12:04:58.222274",52,31
308,1,2,"2015-12-12 12:04:56.908685",52,33
309,1,2,"2015-12-12 12:04:59.254030",52,34
310,1,4,"2015-12-12 12:04:59.504359",52,35
311,1,3,"2015-12-12 12:05:04.982403",52,37
312,1,2,"2015-12-12 12:04:57.947176",52,39
313,1,4,"2015-12-12 12:05:26.890217",53,31
314,1,1,"2015-12-12 12:05:22.067254",53,33
315,1,4,"2015-12-12 12:05:22.338224",53,34
316,1,1,"2015-12-12 12:05:26.475623",53,35
317,1,2,"2015-12-12 12:05:22.582102",53,37
318,1,4,"2015-12-12 12:05:23.340377",53,39
319,1,1,"2015-12-12 12:05:49.306478",54,31
320,1,3,"2015-12-12 12:05:48.035853",54,33
321,1,4,"2015-12-12 12:05:44.604655",54,34
322,1,3,"2015-12-12 12:05:44.210036",54,35
323,1,2,"2015-12-12 12:05:45.020913",54,37
324,1,1,"2015-12-12 12:05:44.529546",54,39
325,1,3,"2015-12-12 12:06:13.224402",55,31
326,1,1,"2015-12-12 12:06:08.733715",55,33
327,1,0,"2015-12-12 12:06:06.528194",55,34
328,1,3,"2015-12-12 12:06:12.973520",55,35
329,1,2,"2015-12-12 12:06:06.655452",55,37
330,1,4,"2015-12-12 12:06:06.013895",55,39
331,1,1,"2015-12-12 12:06:37.273482",56,31
332,1,0,"2015-12-12 12:06:31.936911",56,33
333,1,1,"2015-12-12 12:06:32.717325",56,34
334,1,4,"2015-12-12 12:06:32.771524",56,35
335,1,2,"2015-12-12 12:06:30.122853",56,37
336,1,3,"2015-12-12 12:06:32.178534",56,39
337,1,1,"2015-12-12 12:07:02.314742",57,31
338,1,2,"2015-12-12 12:06:56.166753",57,33
339,1,2,"2015-12-12 12:06:57.131154",57,34
340,1,2,"2015-12-12 12:06:56.844431",57,35
341,1,2,"2015-12-12 12:06:54.030495",57,37
342,1,2,"2015-12-12 12:06:56.296262",57,39
343,1,0,"2015-12-12 12:07:29.068156",58,31
344,1,2,"2015-12-12 12:07:19.080735",58,33
345,1,3,"2015-12-12 12:07:22.979793",58,34
346,1,3,"2015-12-12 12:07:25.946814",58,35
347,1,0,"2015-12-12 12:07:18.683930",58,37
348,1,4,"2015-12-12 12:07:18.910217",58,39
349,1,1,"2015-12-12 12:07:49.839687",59,31
350,1,4,"2015-12-12 12:07:46.167719",59,33
351,1,1,"2015-12-12 12:07:46.568469",59,34
352,1,1,"2015-12-12 12:07:46.421431",59,35
353,1,2,"2015-12-12 12:07:46.889088",59,37
354,1,1,"2015-12-12 12:07:53.635089",59,39
355,1,1,"2015-12-12 12:08:14.293864",60,31
356,1,3,"2015-12-12 12:08:11.313102",60,33
357,1,1,"2015-12-12 12:08:10.638868",60,34
358,1,0,"2015-12-12 12:08:09.882340",60,35
359,1,1,"2015-12-12 12:08:10.282991",60,37
360,1,0,"2015-12-12 12:08:10.435338",60,39
361,1,2,"2015-12-12 12:09:00.609893",61,36
362,1,2,"2015-12-12 12:09:04.129835",61,38
363,1,0,"2015-12-12 12:08:59.328761",61,40
364,1,2,"2015-12-12 12:09:08.155941",61,41
365,1,4,"2015-12-12 12:09:01.512042",61,42
366,1,3,"2015-12-12 12:09:03.141077",61,43
367,1,3,"2015-12-12 12:09:25.610008",62,36
368,1,3,"2015-12-12 12:09:30.993255",62,38
369,1,1,"2015-12-12 12:09:25.669375",62,40
370,1,3,"2015-12-12 12:09:28.034793",62,41
371,1,4,"2015-12-12 12:09:26.021851",62,42
372,1,2,"2015-12-12 12:09:33.599466",62,43
373,1,4,"2015-12-12 12:09:50.106723",63,36
374,1,4,"2015-12-12 12:09:50.588643",63,38
375,1,0,"2015-12-12 12:09:51.814224",63,40
376,1,2,"2015-12-12 12:09:54.503740",63,41
377,1,2,"2015-12-12 12:09:56.571021",63,42
378,1,2,"2015-12-12 12:09:54.668135",63,43
379,1,2,"2015-12-12 12:10:13.232988",64,36
380,1,4,"2015-12-12 12:10:13.419241",64,38
381,1,1,"2015-12-12 12:10:19.494754",64,40
382,1,3,"2015-12-12 12:10:18.692475",64,41
